feature,spearman_rho,p_value,fdr_significant,mutual_info
solar_rad_min_l2,0.12490538388313066,3.2797477664592974e-09,True,0.18648484419897948
vpd_std_w0,0.11266207546699161,5.7010781917853315e-09,True,0.23500906120037102
fruit_id,0.11068204407058739,1.0510435054419833e-08,True,0.01047729359369498
dni_std_w0,-0.10458493018288749,6.471220054959296e-08,True,0.2277171315309754
pres_min_l1,-0.108108980634348,8.487671205830483e-08,True,0.11383807195645268
vpd_std_l1,0.10492020419104633,2.0192408820111866e-07,True,0.20036108119484708
solar_rad_mean_l2,0.1037544478288686,9.154640647131821e-07,True,0.1793808907162442
temp_range_l1,0.09701409815399491,1.5555095361203511e-06,True,0.07233820051869588
pres_mean_l1,-0.09224542232657743,4.952399445568048e-06,True,0.17243538382021417
ghi_std_w0,-0.08711187880884809,6.8464200705718476e-06,True,0.22004328267347795
pres_max_l1,-0.08879069000654523,1.1073772979440511e-05,True,0.1298800380943388
vpd_mean_l1,-0.08576073500770283,2.190584441222083e-05,True,0.19467977412180182
temp_std_l1,0.08557934879363963,2.2803043408842423e-05,True,0.1569945480486059
vpd_max_l1,-0.08320119194606822,3.8317550270530184e-05,True,0.19932786508832856
solar_rad_max_l2,0.07851247371732364,0.000206929890020509,True,0.18486118622812864
rh_mean_w0,0.06685515545275056,0.0005612975008711312,True,0.22541025271197945
pres_max_w0,0.06552870599494423,0.0007220535116264132,True,0.13312955518370417
rh_std_l2,0.07124719339060381,0.0007622957556188386,True,0.15731316841434873
solar_rad_mean_l1,-0.06162883319562637,0.0023079294060790634,True,0.19943454708587582
rh_max_w0,0.05819965281053092,0.002680117938339144,True,0.169061518245347
pres_mean_w0,0.054354455113967595,0.005054042923789183,True,0.19637805878496595
solar_rad_std_l2,-0.059182688661063285,0.0051894452812418215,True,0.1479466542801844
dewpt_std_w0,0.042536031788488415,0.028281973621589487,True,0.171180943186638
wind_spd_std_w0,-0.041948047738802084,0.03054066451897047,True,0.09419303328527184
pres_min_w0,0.04143285519462263,0.032645328783801816,True,0.14631269241939115
wind_spd_std_l1,0.041887984455431515,0.038430397961484224,True,0.06325137007487203
rh_min_w0,0.03859612029936364,0.04658723453617822,False,0.17071971281859066
vpd_std_l2,0.04158724435912471,0.04962563056131111,False,0.14922844057768847
solar_rad_max_l1,-0.03738744624005986,0.0646546137305384,False,0.19548164334439777
solar_rad_min_l1,-0.03628300557618616,0.07296936439445802,False,0.18225209504694218
dhi_std_l2,0.03763626360707368,0.0756461399159225,False,0.12413872396577186
vpd_mean_w0,0.02999936529084527,0.12197113556145038,False,0.22651756919000365
dni_std_l2,-0.03173546250644937,0.13417468054883716,False,0.14759012683171724
rh_std_w0,0.028466682544290696,0.14223854834667166,False,0.18057323733559572
rh_std_l1,0.02956433381800912,0.14405954727111578,False,0.20169505433858936
ghi_std_l1,-0.024779051516684754,0.2208359692483194,False,0.19367027833963824
solar_rad_max_w0,0.023177809323106605,0.23217547203381414,False,0.25428096430310543
vpd_max_w0,0.022231723205677425,0.2517983203647794,False,0.2539126316864795
dhi_std_w0,-0.02194755490170293,0.25791176569515223,False,0.20679470885156315
dewpt_std_l2,0.023003786100180158,0.277657869153646,False,0.12203349763214355
dni_std_l1,-0.02055052364359442,0.3099474929718934,False,0.17746780907660398
ghi_std_l2,-0.019390338877262957,0.3601733909507703,False,0.15266464026601922
temp_std_l2,-0.018975288124600014,0.3705493436424825,False,0.13947685886099292
tree_id,-0.01660604326392669,0.3920225721057714,False,0.00814424890694121
temp_range_w0,0.014615969881007251,0.45123028522062647,False,0.04830079191749892
solar_rad_min_w0,-0.010135572740826108,0.6013824818669105,False,0.23966087139591208
solar_rad_mean_w0,-0.009052046031115077,0.6408123565010782,False,0.25128874861825024
dhi_std_l1,0.0070528832007238276,0.7275197079560337,False,0.1502283516218934
vpd_min_w0,-0.004637742419491971,0.8110774284369411,False,0.23536604955931728
temp_range_l2,0.004965752937902016,0.8147408398563646,False,0.04755696904355733
temp_std_w0,-0.004004633787578828,0.8364748442892503,False,0.17964642218969673
